Taxa	Dicamba
FC29333	3.29
FC31571	2.33
FC31697	3.00
FC33243	3.87
FC3654-1	2.75
PI103079	1.83
PI103088	3.29
PI123587	2.25
PI153231	2.42
PI157487B	2.87
PI171428	2.75
PI196175	1.67
PI200471	2.67
PI200503	2.04
PI209331	2.50
PI209332	2.67
PI209334	2.58
PI227320	2.42
PI235347	2.62
PI253656B	2.08
PI253661B	2.17
PI319527	2.42
PI324924	3.17
PI342434	1.49
PI377574	2.67
PI378682C	2.83
PI379618	3.00
PI398593	2.00
PI398595	2.17
PI398610	2.50
PI398614	2.42
PI398633	3.00
PI398881	2.17
PI398965	3.45
PI399058	2.08
PI404161	2.42
PI404166	3.17
PI404182	2.17
PI404188A	2.83
PI404198B	1.58
PI404199	2.58
PI407659B	2.67
PI407729	2.92
PI407742	2.27
PI407788A	2.75
PI407965	2.67
PI408088	2.67
PI408105A	1.92
PI416768	2.33
PI416838	2.17
PI417007	2.50
PI417015	3.17
PI417077	3.42
PI417479	3.04
PI417581	2.67
PI423926	2.00
PI424005	1.17
PI424038B	1.33
PI424078	2.50
PI424298	2.00
PI424608A	2.08
PI427136	2.12
PI430595	2.24
PI430598B	3.58
PI437110A	2.67
PI437127A	2.50
PI437321	2.42
PI437476	2.64
PI437487	2.83
PI437578	2.79
PI437654	2.42
PI437655	3.50
PI437679	2.75
PI437685D	3.29
PI437690	3.08
PI437725	3.50
PI437776	3.00
PI437798	2.75
PI438047	3.00
PI438112B	2.62
PI438310	2.49
PI438312	2.42
PI438335	2.67
PI438496B	1.99
PI438496C	2.37
PI438500	2.58
PI458510	2.54
PI458515	2.87
PI464912	2.06
PI464920B	3.79
PI468408B	3.56
PI468919	1.74
PI471938	2.33
PI475812B	2.42
PI476939	2.42
PI479735	2.74
PI490766	3.06
PI495017C	2.92
PI495020	3.17
PI504288	3.08
PI504495	3.25
PI506862	2.75
PI506933	1.92
PI507180	2.29
PI507293B	1.87
PI507458	2.49
PI507467	3.12
PI507480	2.12
PI508269	2.12
PI518664	2.33
PI518668	3.25
PI525454	2.50
PI532463B	2.83
PI533654	3.08
PI534648	3.00
PI538386A	3.00
PI539936	2.75
PI540555	3.33
PI542044	2.62
PI54591	4.04
PI54614	2.54
PI54615-1	2.79
PI547862	4.08
PI548158	1.67
PI548162	3.17
PI548169	3.77
PI548178	2.37
PI548193	3.67
PI548200	3.74
PI548313	2.54
PI548316	3.75
PI548317	3.17
PI548349	3.50
PI548359	2.92
PI548364	3.33
PI548383	2.74
PI548402	3.42
PI548415	2.67
PI548427	3.50
PI548452	2.83
PI548464	2.92
PI548547	3.08
PI548619	3.83
PI548633	3.00
PI548667	3.08
PI549017	1.62
PI549018	2.08
PI549023B	2.17
PI549026	2.50
PI549031	3.58
PI549041A	2.17
PI552538	4.17
PI556511	3.83
PI559932	2.00
PI561271	2.42
PI561321	3.33
PI561371	3.29
PI561387	2.08
PI561701	1.37
PI567060A	2.92
PI567230	2.25
PI567265	2.58
PI567272A	1.75
PI567305	2.42
PI567307	1.74
PI567331	2.08
PI567336B	2.17
PI567343	2.92
PI567352A	3.24
PI567353	2.25
PI567354	2.83
PI567357	2.33
PI567361	3.00
PI567366A	2.50
PI567370A	2.95
PI567381B	2.25
PI567383	1.92
PI567387	1.92
PI567390	2.23
PI567392	3.08
PI567395	2.75
PI567396B	2.92
PI567398	3.00
PI567404A	3.42
PI567408	1.87
PI567415A	2.62
PI567416	2.50
PI567426	2.83
PI567428	2.42
PI567435B	2.92
PI567439	1.83
PI567458	2.83
PI567476	3.00
PI567482B	3.58
PI567489A	3.74
PI567516C	2.25
PI567519	4.00
PI567532	2.67
PI567541B	3.04
PI567548	2.79
PI567552	2.58
PI567556	2.49
PI567558	2.29
PI567576	2.50
PI567582A	3.08
PI567599	2.25
PI567604A	3.06
PI567611	3.25
PI567638	2.08
PI567648C	2.92
PI567651	1.67
PI567675	2.17
PI567685	2.08
PI567690	2.83
PI567698A	2.25
PI567719	3.00
PI567721	2.58
PI567726	3.83
PI567731	3.17
PI567746	2.99
PI567772	2.92
PI567780B	2.08
PI572239	2.67
PI574477	2.19
PI574486	3.19
PI578490	2.75
PI578495	2.83
PI583366	2.33
PI587575A	3.42
PI587588A	3.00
PI587588B	2.75
PI587712B	2.36
PI587804	2.42
PI588015B	2.67
PI588026C	2.72
PI58955	1.92
PI591539	3.08
PI592937	2.67
PI592940	2.33
PI592952	1.99
PI593258	3.21
PI594012	2.75
PI594409B	2.42
PI594456A	2.58
PI594467	2.54
PI594599	2.67
PI594660A	2.25
PI594880	3.42
PI594883	2.67
PI594922	2.75
PI597384	2.92
PI597387	4.50
PI597476	2.67
PI597478B	2.74
PI598124	4.25
PI598358	1.67
PI602492	3.00
PI602502B	2.75
PI602993	2.75
PI603154	2.58
PI603162	2.50
PI603170	2.33
PI603174A	2.92
PI603175	2.00
PI603176A	2.25
PI603397	2.33
PI603401	3.17
PI603421B	2.79
PI603442	2.92
PI603451A	2.75
PI603457B	1.87
PI603458A	3.08
PI603477A	2.50
PI603488	2.62
PI603490	3.00
PI603492	3.25
PI603494	2.67
PI603495B	3.42
PI603496B	3.00
PI603497	1.42
PI603502A	2.83
PI603505	1.58
PI603510	1.83
PI603523	1.92
PI603526	1.92
PI603549	3.42
PI603554B	2.08
PI603555	2.33
PI603556	2.92
PI603557	1.99
PI603559	2.12
PI603574	1.92
PI603583	2.42
PI603675	4.49
PI603687A	1.83
PI603910C	1.92
PI603911B	3.42
PI605839A	2.92
PI605869A	2.00
PI606374	3.24
PI60970	1.54
PI612611	3.50
PI62203	2.17
PI632418	2.75
PI632654	2.75
PI63945	3.33
PI639740	3.17
PI656647	3.08
PI68423	3.67
PI68521-1	2.17
PI68523	2.56
PI68604-1	2.54
PI68679-2	2.62
PI68731	3.17
PI68732-1	3.42
PI70080	2.77
PI70201	3.67
PI70208	2.25
PI70242-2	2.08
PI70466-3	2.83
PI71465	1.58
PI79616	2.42
PI79691-4	1.79
PI79797	3.31
PI79832	3.54
PI79870-4	2.42
PI80466-1	2.24
PI80837	3.04
PI81041	3.17
PI81042-2	2.17
PI81785	2.79
PI82302	3.00
PI83881	2.54
PI83925	2.33
PI83942	2.08
PI84509	2.58
PI84631	3.17
PI84656	3.25
PI84660	2.83
PI84946-2	2.81
PI84973	3.33
PI86084	2.83
PI86972-2	3.92
PI86982	2.58
PI87076	2.62
PI87571	2.92
PI87617	2.58
PI87618	3.67
PI87620	3.08
PI87631-1	2.49
PI87634	2.92
PI88306	3.04
PI88448	2.67
PI88499	2.17
PI88788	3.54
PI89772	3.58
PI90369	2.67
PI90406-1	3.00
PI90479P	2.54
PI90486	2.42
PI90495N	3.50
PI90499-1	3.25
PI90723	3.17
PI90763	3.25
PI91083	3.04
PI91100-3	1.87
PI91132-3	1.92
PI91159-4	3.92
PI91160	3.17
PI91340	2.17
PI91725	3.08
PI91731-1	2.42
PI92604	3.25
PI92618	3.25
PI92651	3.17
PI92688-2	2.27
PI92718-2	3.25
PI92728	2.83
PI93055S	1.58
PI93563	3.17
PI94159-3	3.08
PI97139	2.83
